name,affiliate,place,totalPoints,Hoppin and Poppin,3-1-2 Its So Complex,Toss it Im Over It Row,Toss it Im Over It Metcon,Get on Up n Git Down,WOD1,WOD2,WOD3,WOD4,WOD5
Jaeger Bums,DOWNTOWN FITNESS COMPOUND,113,497,05:19,240,155,236,06:25,99,123,90,113,72
WTF,RUGGED PEAKS CROSSFIT,114,501,05:15,260,144,255,06:58,95,101,120,88,97
Richmond Greyhounds,"WEST END CROSSFIT, RICHMOND, VA",115,507,06:14,240,169,250,07:05,133,123,53,96,102
Team Ibuprofen ,CROSSFIT HARRISBURG,116,509,05:30,270,140,223,06:02,115,89,127,124,54
Movement Society Geriatrics,INDEPENDENT,117,516,05:01,200,148,252,07:10,71,139,110,93,103
Patchwork Powerhouse,CROSSFIT ROUTE 7,118,520,05:19,310,149,190,09:48,99,40,108,136,137
Masters of Guac and Roll,FIRST COAST CROSSFIT,119,523,05:10,250,147,254,07:37,85,115,113,92,118
KPU,CROSSFIT PASSAIC VALLEY,120,531,06:00,195,160,251,06:48,128,141,77,95,90
Team Hot Rod,CROSSFIT ARGONAUT,121,533,05:25,285,135,266,-,107,69,133,75,149
Farmer's Carry,INDEPENDENT,122,537,06:44,260,179,204,08:50,138,101,34,132,132
Team CES,GLENN BRIDGE CROSSFIT,123,542,05:26,250,157,215,07:13,109,115,86,127,105
Booty and the Beast,CROSSFIT CELSIUS,124,565,05:56,230,169,197,08:02,123,131,53,135,123
Beauty and the Beast,	233 CROSSFIT,124,565,06:17,225,152,262,07:20,135,134,102,83,111
Rockin our 60's,CROSSFIT KYBR,126,566,05:29,235,143,267,08:41,113,129,123,73,128
Jacked in the Box,INDEPENDENT,127,570,05:57,260,142,241,07:21,125,101,125,107,112
You Go I Go,CROSSFIT VINITA,128,577,05:48,340,-,-,-,119,11,149,149,149
Misery Loves Company,CROSSFIT CONVERGENCE,129,581,05:51,260,154,206,08:43,121,101,97,131,131
Abs by Tacos,CROSSFIT UPROAR,130,586,06:00,250,155,223,08:42,128,115,90,124,129
Boston Strong ,CROSSFIT SANDSTORM,131,589,05:18,245,140,224,07:54,96,121,127,123,122
2 peas in a wod,INDEPENDENT,132,598,05:59,200,150,240,07:34,127,139,106,109,117
Whovians,CLARITYFIT,133,599,05:24,230,138,235,07:38,102,131,131,116,119
Run like the winded ,FREEWILL CROSSFIT,134,600,05:56,255,153,204,09:05,123,111,99,132,135
Wild and Wonderful,BLACK WIDOW CROSSFIT,135,603,07:04,280,145,175,08:56,140,72,119,138,134
Redrock Patriots ,CROSSFIT GLOBE COBRE VALLEY,136,616,06:09,240,136,228,07:18,131,123,132,121,109
Swole Mates,CRUNCH FITNESS OF ROANOKE,137,619,05:57,265,129,215,08:52,125,97,137,127,133
Shemademedoit,REDEMPTION FITNESS- CROSSFIT WAUKESHA,138,650,06:57,210,139,229,08:10,139,138,129,120,124
